https://github.com/theopolis/smc-fuzzer with tiny changes

*val.bytes: 0xed010000
*val.bytes: 0x1ed
num: 1ed (4)
  #KEY  [ui32]  237 (bytes 00 00 01 ed)
  IC0C  [sp87]  (bytes 04 a1)
  IC0R  [sp4b]  (bytes 02 c6)
  IC0r  [ui16]  155 (bytes 00 9b)
  IC1C  [sp69]  (bytes 01 67)
  IC2C  [sp69]  (bytes 01 1c)
  IC3C  [sp4b]  (bytes 00 00)
  ID0R  [sp3c]  (bytes 0d 03)
  ID0r  [ui16]  60 (bytes 02 3c)
  IG0C  [sp69]  (bytes 00 23)
  IG0R  [sp4b]  (bytes 00 0a)
  IG0r  [ui16]  4 (bytes 00 04)
  IG1C  [sp4b]  (bytes 00 00)
  IG2C  [sp4b]  (bytes 00 00)
  IG3C  [sp4b]  (bytes 00 00)
  IHDC  [sp4b]  (bytes 00 58)
  IHSC  [sp4b]  (bytes 00 01)
  IHSc  [ui16]  1 (bytes 00 01)
  ILDC  [sp4b]  (bytes 00 00)
  IM0C  [sp5a]  (bytes 01 c3)
  IN0C  [sp69]  (bytes 00 82)
  IO0R  [sp4b]  (bytes 03 08)
  IO0r  [ui16]  121 (bytes 00 79)
  IPBR  [sp5a]  (bytes 01 35)
  ISBC  [sp4b]  (bytes 0f 69)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  157 (bytes 15 9d)
  LC2E  [ui16]  157 (bytes 15 9d)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  136 (bytes 88)
  LCCQ  [ui8 ]  136 (bytes 88)
  LCKA  [ui8 ]  46 (bytes 2e)
  LCKN  [ui8 ]  224 (bytes e0)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  184 (bytes b8)
  LCTN  [ui8 ]  100 (bytes 64)
  LCTQ  [ui8 ]  127 (bytes 7f)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 00 00)
  LKSB  [{lkb]  (bytes 00 00)
  LKSS  [{lks]  (bytes 00 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAi  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSLB  [ui16]  0 (bytes 00 00)
